elected,expired,dob,pageUrl,education,constituency,name,club,votes,history,party,votes/_source,history-mp,history-senate,recent-mp,recent-senate,total-mp,total-senate
09-10-2011,2014-04-01,"15-03-1957, Września",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=315,wyższe,37 Konin,Krystyna Poślednia,Klub Parlamentarny Platforma Obywatelska,8714,brak,Platforma Obywatelska,8714,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,2014-05-27,"16-05-1972, Kraków",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=077,wyższe,13 Kraków,Andrzej Duda,Klub Parlamentarny Prawo i Sprawiedliwość,79981,brak,Prawo i Sprawiedliwość,79981,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,2014-05-27,"08-08-1946, Radom",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=329,wyższe,20 Warszawa,Dariusz Rosati,Klub Parlamentarny Platforma Obywatelska,59562,brak,Platforma Obywatelska,59562,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,2014-05-27,"22-01-1956, Kolno",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=206,wyższe,24 Białystok,Barbara Kudrycka,Klub Parlamentarny Platforma Obywatelska,41047,brak,Platforma Obywatelska,41047,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,2014-05-27,"12-01-1957, Lębork",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=090,wyższe,25 Gdańsk,Anna Fotyga,Klub Parlamentarny Prawo i Sprawiedliwość,24662,brak,Prawo i Sprawiedliwość,24662,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,2014-12-08,"13-04-1976, Rymanów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=027,wyższe,26 Gdynia,Robert Biedroń,Klub Poselski Twój Ruch,16919,brak,Ruch Palikota,16919,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,2014-12-10,"09-02-1971, Ostrowiec Świetokrzyski",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=112,wyższe,33 Kielce,Jarosław Górczyński,Klub Parlamentarny Polskiego Stronnictwa Ludowego,4814,brak,Polskie Stronnictwo Ludowe,4814,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,2015-03-06,"15-08-1976, Wrocław",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=150,wyższe,33 Kielce,Tomasz Kaczmarek,Poseł niezrzeszony,4332,brak,Prawo i Sprawiedliwość,4332,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"03-12-1956, Skaryszew",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=183,wyższe,17 Radom,Ewa Kopacz,Klub Parlamentarny Platforma Obywatelska,41554,Marszałek Sejmu od 08-11-2011 do 22-09-2014,Platforma Obywatelska,41554,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"23-02-1963, Bydgoszcz",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=354,wyższe,4 Bydgoszcz,Radosław Sikorski,Klub Parlamentarny Platforma Obywatelska,91720,Marszałek Sejmu od 24-09-2014,Platforma Obywatelska,91720,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"03-07-1946, Żyrardów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=246,wyższe,26 Gdynia,Leszek Miller,Klub Poselski Sojusz Lewicy Demokratycznej,18038,"poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji",Sojusz Lewicy Demokratycznej,18038,1:1:1:1:0:0:1,0:0:0:0:0:0:0:1,2,1,6,1
09-10-2011,None,"28-10-1944, Piastów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=134,wyższe,35 Olsztyn,Tadeusz Iwiński,Klub Poselski Sojusz Lewicy Demokratycznej,11025,"poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Sojusz Lewicy Demokratycznej,11025,1:1:1:1:1:1:1,0:0:0:0:0:0:0:1,8,1,8,1
09-10-2011,None,"25-10-1947, Piekary",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=153,wyższe,38 Piła,Stanisław Kalemba,Klub Parlamentarny Polskiego Stronnictwa Ludowego,10597,"poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Polskie Stronnictwo Ludowe,10597,1:1:1:1:1:1:1,0:0:0:0:0:0:0:1,8,1,8,1
09-10-2011,2014-05-27,"10-02-1946, Jutrosin",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=226,wyższe,39 Poznań,Krystyna Łybacka,Klub Poselski Sojusz Lewicy Demokratycznej,16616,"poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Sojusz Lewicy Demokratycznej,16616,1:1:1:1:1:1:1,0:0:0:0:0:0:0:1,8,1,8,1
09-10-2011,None,"01-10-1963, Przeworsk",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=050,wyższe,23 Rzeszów,Jan Bury,Klub Parlamentarny Polskiego Stronnictwa Ludowego,15649,"poseł I kadencji, poseł II kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Polskie Stronnictwo Ludowe,15649,1:1:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,7,1
09-10-2011,None,"15-03-1960, Studzianki Pancerne",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=295,wyższe,20 Warszawa,Janusz Piechociński,Klub Parlamentarny Polskiego Stronnictwa Ludowego,11638,"poseł I kadencji, poseł II kadencji, poseł IV kadencji, poseł VI kadencji",Polskie Stronnictwo Ludowe,11638,1:1:0:1:0:1:1,0:0:0:0:0:0:0:1,3,1,6,1
09-10-2011,None,"14-02-1961, Bydgoszcz",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=347,wyższe,11 Sieradz,Grzegorz Schreiber,Klub Parlamentarny Prawo i Sprawiedliwość,17808,"poseł I kadencji, poseł III kadencji",Prawo i Sprawiedliwość,17808,1:0:1:0:0:0:1,0:0:0:0:0:0:0:1,2,1,4,1
09-10-2011,2014-05-27,"28-07-1964, Kielce",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=408,wyższe,3 Wrocław,Kazimierz Michał Ujazdowski,Klub Parlamentarny Prawo i Sprawiedliwość,26221,"poseł I kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,26221,1:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,7,1
09-10-2011,None,"03-08-1948, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=228,wyższe,10 Piotrków Trybunalski,Antoni Macierewicz,Klub Parlamentarny Prawo i Sprawiedliwość,41871,"poseł I kadencji, poseł III kadencji, poseł IV kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,41871,1:0:1:1:0:1:1,0:0:0:0:0:0:0:1,3,1,6,1
09-10-2011,None,"19-05-1950, Rzążew",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=394,wyższe,18 Siedlce,Krzysztof Tchórzewski,Klub Parlamentarny Prawo i Sprawiedliwość,22787,"poseł I kadencji, poseł III kadencji, poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,22787,1:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,6,1
09-10-2011,None,"11-09-1956, Głubczyce",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=218,wyższe,1 Legnica,Adam Lipiński,Klub Parlamentarny Prawo i Sprawiedliwość,25523,"poseł I kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,25523,1:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,6,1
09-10-2011,2014-10-31,"22-04-1957, Gdańsk",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=406,wyższe,19 Warszawa,Donald Tusk,Klub Parlamentarny Platforma Obywatelska,374920,"poseł I kadencji, senator IV kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,374920,1:0:0:1:1:1:1,0:0:0:1:0:0:0:1,5,1,6,2
09-10-2011,None,"26-02-1958, Wilamowice",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=435,wyższe,31 Katowice,Zbyszek Zaborowski,Klub Poselski Sojusz Lewicy Demokratycznej,9482,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji",Sojusz Lewicy Demokratycznej,9482,0:1:1:1:1:0:1,0:0:0:0:0:0:0:1,2,1,6,1
09-10-2011,None,"04-05-1955, Lubawka",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=442,wyższe,1 Legnica,Ryszard Zbrzyzny,Klub Poselski Sojusz Lewicy Demokratycznej,11990,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Sojusz Lewicy Demokratycznej,11990,0:1:1:1:1:1:1,0:0:0:0:0:0:0:1,7,1,7,1
09-10-2011,None,"08-04-1958, Sawice",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=345,wyższe,18 Siedlce,Marek Sawicki,Klub Parlamentarny Polskiego Stronnictwa Ludowego,23901,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Polskie Stronnictwo Ludowe,23901,0:1:1:1:1:1:1,0:0:0:0:0:0:0:1,7,1,7,1
09-10-2011,None,"02-04-1942, Zielonki",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=288,wyższe,33 Kielce,Mirosław Pawlak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,6317,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Polskie Stronnictwo Ludowe,6317,0:1:1:1:1:1:1,0:0:0:0:0:0:0:1,7,1,7,1
09-10-2011,None,"21-02-1959, Niechanowo",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=401,wyższe,37 Konin,Tadeusz Tomaszewski,Klub Poselski Sojusz Lewicy Demokratycznej,11267,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Sojusz Lewicy Demokratycznej,11267,0:1:1:1:1:1:1,0:0:0:0:0:0:0:1,7,1,7,1
09-10-2011,None,"19-01-1949, Duszniki Wlkp.",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=004,średnie zawodowe,38 Piła,Romuald Ajchler,Klub Poselski Sojusz Lewicy Demokratycznej,9362,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł VI kadencji",Sojusz Lewicy Demokratycznej,9362,0:1:1:1:0:1:1,0:0:0:0:0:0:0:1,3,1,6,1
09-10-2011,None,"20-06-1944, Częstochowa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=280,wyższe,10 Piotrków Trybunalski,Krystyna Ozga,Klub Parlamentarny Polskiego Stronnictwa Ludowego,9207,"poseł II kadencji, poseł IV kadencji, poseł V kadencji",Polskie Stronnictwo Ludowe,9207,0:1:0:1:1:0:1,0:0:0:0:0:0:0:1,2,1,5,1
09-10-2011,None,"30-03-1953, Jarosław",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=161,wyższe,22 Krosno,Mieczysław Kasprzak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,6854,"poseł II kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Polskie Stronnictwo Ludowe,6854,0:1:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,6,1
09-10-2011,None,"24-10-1943, Siedliska",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=212,wyższe,13 Kraków,Józef Lassota,Klub Parlamentarny Platforma Obywatelska,10241,poseł III kadencji,Platforma Obywatelska,10241,0:0:1:0:0:0:1,0:0:0:0:0:0:0:1,2,1,3,1
09-10-2011,None,"17-07-1940, Barcice",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=059,wyższe,14 Nowy Sącz,Marian Cycoń,Klub Parlamentarny Platforma Obywatelska,10678,poseł III kadencji,Platforma Obywatelska,10678,0:0:1:0:0:0:1,0:0:0:0:0:0:0:1,2,1,3,1
09-10-2011,None,"18-02-1963, Opole",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=346,wyższe,1 Legnica,Grzegorz Schetyna,Klub Parlamentarny Platforma Obywatelska,67670,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,67670,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1
09-10-2011,None,"05-06-1954, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=075,wyższe,20 Warszawa,Ludwik Dorn,Poseł niezrzeszony,18683,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,18683,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1
09-10-2011,None,"21-09-1957, Piława Górna",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=140,wyższe,21 Opole,Tadeusz Jarmuziewicz,Klub Parlamentarny Platforma Obywatelska,14022,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,14022,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1
09-10-2011,None,"30-05-1951, Wejherowo",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=047,wyższe,26 Gdynia,Jerzy Budnik,Klub Parlamentarny Platforma Obywatelska,8546,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,8546,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1
09-10-2011,None,"24-08-1961, Piekary Śląskie",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=309,wyższe,29 Gliwice,Jerzy Polaczek,Klub Parlamentarny Prawo i Sprawiedliwość,22310,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,22310,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1
09-10-2011,None,"27-03-1951, Piotrków Kujawski",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=359,wyższe,5 Toruń,Anna Elżbieta Sobecka,Klub Parlamentarny Prawo i Sprawiedliwość,6990,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,6990,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1
09-10-2011,2013-08-23,"09-01-1951, Gniewkowo",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=248,wyższe,33 Kielce,Konstanty Miodowicz,Klub Parlamentarny Platforma Obywatelska,14202,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,14202,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1
09-10-2011,2014-05-27,"13-11-1958, Kalisz",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=375,wyższe,38 Piła,Adam Szejnfeld,Klub Parlamentarny Platforma Obywatelska,45764,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,45764,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1
09-10-2011,2014-11-14,"23-02-1964, Kęty",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=118,wyższe,12 Kraków,Paweł Graś,Klub Parlamentarny Platforma Obywatelska,36992,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,36992,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1
09-10-2011,None,"15-11-1953, Chojnice",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=171,wyższe,4 Bydgoszcz,Eugeniusz Kłopotek,Klub Parlamentarny Polskiego Stronnictwa Ludowego,13287,"poseł III kadencji, poseł IV kadencji, poseł VI kadencji",Polskie Stronnictwo Ludowe,13287,0:0:1:1:0:1:1,0:0:0:0:0:0:0:1,3,1,5,1
09-10-2011,None,"18-11-1953, Ogrodniki",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=148,wyższe,24 Białystok,Krzysztof Jurgiel,Klub Parlamentarny Prawo i Sprawiedliwość,35763,"poseł III kadencji, poseł IV kadencji, senator V kadencji, poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,35763,0:0:1:1:1:1:1,0:0:0:0:1:0:0:1,6,1,6,2
09-10-2011,None,"16-02-1968, Gdynia",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=007,wyższe,26 Gdynia,Dorota Arciszewska-Mielewczyk,Klub Parlamentarny Prawo i Sprawiedliwość,18088,"poseł III kadencji, poseł IV kadencji, senator VI kadencji, senator VII kadencji",Prawo i Sprawiedliwość,18088,0:0:1:1:0:0:1,0:0:0:0:0:1:1:1,2,3,4,3
09-10-2011,None,"11-06-1957, Kunki",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=196,wyższe,16 Płock,Mirosław Koźlakiewicz,Klub Parlamentarny Platforma Obywatelska,11000,"poseł III kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,11000,0:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,5,1
09-10-2011,None,"07-07-1950, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=086,wyższe,19 Warszawa,Joanna Fabisiak,Klub Parlamentarny Platforma Obywatelska,6739,"poseł III kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,6739,0:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,5,1
09-10-2011,None,"04-11-1950, Płońsk",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=436,wyższe,20 Warszawa,Jadwiga Zakrzewska,Klub Parlamentarny Platforma Obywatelska,11383,"poseł III kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,11383,0:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,5,1
09-10-2011,None,"28-04-1959, Sopot",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=028,wyższe,26 Gdynia,Marek Biernacki,Klub Parlamentarny Platforma Obywatelska,66019,"poseł III kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,66019,0:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,5,1
09-10-2011,None,"12-04-1955, Bielsko-Biała",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=383,wyższe,27 Bielsko-Biała,Stanisław Szwed,Klub Parlamentarny Prawo i Sprawiedliwość,32416,"poseł III kadencji, poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,32416,0:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,5,1
09-10-2011,None,"21-01-1954, Gniezno",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=012,wyższe,37 Konin,Paweł Arndt,Klub Parlamentarny Platforma Obywatelska,12627,"poseł III kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,12627,0:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,5,1
09-10-2011,2015-06-01,"04-10-1963, Grodzisko Dolne",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=338,wyższe,23 Rzeszów,Zbigniew Rynasiewicz,Klub Parlamentarny Platforma Obywatelska,27510,"poseł III kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,27510,0:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,5,1
09-10-2011,None,"15-11-1957, Białogard",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=038,średnie zawodowe,25 Gdańsk,Jerzy Borowczak,Klub Parlamentarny Platforma Obywatelska,10504,"poseł III kadencji, poseł VI kadencji",Platforma Obywatelska,10504,0:0:1:0:0:1:1,0:0:0:0:0:0:0:1,3,1,4,1
09-10-2011,2014-05-27,"14-01-1964, Bydgoszcz",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=451,wyższe,4 Bydgoszcz,Kosma Złotowski,Klub Parlamentarny Prawo i Sprawiedliwość,21607,"poseł III kadencji, senator VI kadencji",Prawo i Sprawiedliwość,21607,0:0:1:0:0:0:1,0:0:0:0:0:1:0:1,2,1,3,2
09-10-2011,2014-05-27,"19-09-1956, Komorowo",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=207,wyższe,17 Radom,Zbigniew Kuźmiuk,Klub Parlamentarny Prawo i Sprawiedliwość,29223,poseł IV kadencji,Prawo i Sprawiedliwość,29223,0:0:0:1:0:0:1,0:0:0:0:0:0:0:1,2,1,3,1
09-10-2011,None,"17-04-1946, Świdry Podleśne",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=035,wyższe,24 Białystok,Edmund Borawski,Klub Parlamentarny Polskiego Stronnictwa Ludowego,11759,"poseł IV kadencji, poseł V kadencji",Polskie Stronnictwo Ludowe,11759,0:0:0:1:1:0:1,0:0:0:0:0:0:0:1,2,1,4,1
09-10-2011,None,"10-12-1963, Rypin",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=360,wyższe,5 Toruń,Zbigniew Sosnowski,Klub Parlamentarny Polskiego Stronnictwa Ludowego,7354,"poseł IV kadencji, poseł V kadencji",Polskie Stronnictwo Ludowe,7354,0:0:0:1:1:0:1,0:0:0:0:0:0:0:1,2,1,4,1
09-10-2011,None,"08-11-1954, Nowy Sącz",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=066,wyższe,14 Nowy Sącz,Andrzej Czerwiński,Klub Parlamentarny Platforma Obywatelska,16723,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,16723,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1
09-10-2011,None,"01-04-1948, Gostynin",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=143,wyższe,16 Płock,Wojciech Jasiński,Klub Parlamentarny Prawo i Sprawiedliwość,26125,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,26125,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1
09-10-2011,None,"11-06-1958, Grójec",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=367,średnie policealne/pomaturalne,17 Radom,Marek Suski,Klub Parlamentarny Prawo i Sprawiedliwość,17251,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,17251,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1
09-10-2011,None,"06-05-1943, Karczmiska",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=317,wyższe,18 Siedlce,Stanisława Prządka,Klub Poselski Sojusz Lewicy Demokratycznej,8717,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Sojusz Lewicy Demokratycznej,8717,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1
09-10-2011,None,"26-02-1957, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=154,wyższe,19 Warszawa,Ryszard Kalisz,Poseł niezrzeszony,53451,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Sojusz Lewicy Demokratycznej,53451,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1
09-10-2011,None,"10-02-1956, Grodzisk Mazowiecki",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=271,wyższe,20 Warszawa,Alicja Olechowska,Klub Parlamentarny Platforma Obywatelska,10884,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,10884,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1
09-10-2011,None,"01-01-1955, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=186,wyższe,21 Opole,Leszek Korzeniowski,Klub Parlamentarny Platforma Obywatelska,30454,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,30454,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1
09-10-2011,None,"22-07-1954, Mielec",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=355,wyższe,23 Rzeszów,Krystyna Skowrońska,Klub Parlamentarny Platforma Obywatelska,25174,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,25174,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1
09-10-2011,None,"20-09-1960, Szwajcaria",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=445,wyższe,24 Białystok,Jarosław Zieliński,Klub Parlamentarny Prawo i Sprawiedliwość,21015,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,21015,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1
09-10-2011,None,"03-05-1958, Domatowo",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=306,wyższe,26 Gdynia,Kazimierz Plocke,Klub Parlamentarny Platforma Obywatelska,18452,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,18452,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1
09-10-2011,None,"24-06-1957, Słupsk",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=374,średnie policealne/pomaturalne,26 Gdynia,Jolanta Szczypińska,Klub Parlamentarny Prawo i Sprawiedliwość,19819,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,19819,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1
09-10-2011,None,"01-02-1951, Siemianowice Śląskie",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=087,wyższe,27 Bielsko-Biała,Jacek Falfus,Klub Parlamentarny Prawo i Sprawiedliwość,11391,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,11391,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1
09-10-2011,None,"08-03-1956, Częstochowa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=103,wyższe,28 Częstochowa,Szymon Giżyński,Klub Parlamentarny Prawo i Sprawiedliwość,9146,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Prawo i Sprawiedliwość,9146,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1
09-10-2011,None,"20-04-1944, Kraków",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=093,wyższe,29 Gliwice,Andrzej Gałażewski,Klub Parlamentarny Platforma Obywatelska,11746,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,11746,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1
